task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
117	a4/71e411	2059	MERGED_LIB_BAM_FILTER (IK0_R4)	CACHED	0	2022-04-04 20:14:08.743	46m 14s	45m 18s	157.0%	5.1 GB	6 GB	34.5 GB	20.2 GB
107	2c/f1d005	2084	MERGED_LIB_BIGWIG (C0_R3)	CACHED	0	2022-04-04 21:12:51.787	9m 52s	8m 35s	109.9%	1.9 GB	1.9 GB	14.1 GB	7.6 GB
115	14/23309a	2117	MERGED_LIB_ATAQV (C0_R2)	CACHED	0	2022-04-04 21:56:35.231	10m 19s	10m 14s	221.9%	139.5 MB	536.4 MB	21.8 GB	7.1 MB
109	72/382715	2053	MERGED_LIB_BAM_FILTER (IK0_R3)	CACHED	0	2022-04-04 20:02:41.497	1h 4m 37s	51m 16s	139.0%	5.1 GB	6 GB	32.2 GB	19.5 GB
113	ca/8efd71	2068	MERGED_LIB_PLOTFINGERPRINT (C0_R4)	CACHED	0	2022-04-04 20:35:17.497	1m 55s	1m 49s	666.1%	914.7 MB	2.1 GB	43 GB	6.3 MB
123	f6/96feea	2094	MERGED_LIB_ATAQV (C0_R3)	CACHED	0	2022-04-04 21:29:24.631	8m 39s	8m 34s	230.2%	136.9 MB	464.1 MB	20.2 GB	6.3 MB
120	ef/a460d3	2066	MERGED_LIB_MACS2 (C0_R4)	CACHED	0	2022-04-04 20:35:16.302	12m 7s	11m 59s	116.3%	962.4 MB	1.2 GB	12.5 GB	6.7 GB
125	97/c82164	2087	MERGED_LIB_PLOTPROFILE (C0_R3)	CACHED	0	2022-04-04 21:22:43.990	10m 34s	10m 29s	696.8%	3.6 GB	4.5 GB	4.3 GB	1.3 GB
121	68/983a25	2065	MERGED_LIB_PICARD_METRICS (C0_R4)	CACHED	0	2022-04-04 20:35:15.248	7m 48s	7m 40s	99.4%	2.2 GB	39.3 GB	5.9 GB	822.5 KB
122	20/ce3d18	2095	MERGED_LIB_MACS2_ANNOTATE (C0_R3)	CACHED	0	2022-04-04 21:29:25.126	3m 43s	3m 39s	99.7%	2.6 GB	2.6 GB	1.7 GB	381.3 MB
124	48/1e7044	2069	MERGED_LIB_PLOTPROFILE (C0_R4)	CACHED	0	2022-04-04 20:42:19.235	10m 44s	10m 37s	695.8%	3.5 GB	4.4 GB	4 GB	1.3 GB
116	d6/7e5a48	2096	MERGED_LIB_BAM_REMOVE_ORPHAN (IK0_R1)	CACHED	0	2022-04-04 21:30:11.102	57m 18s	44m 27s	116.1%	5.1 GB	6 GB	22.9 GB	11.6 GB
119	c5/ba06ce	2085	MERGED_LIB_BAM_REMOVE_ORPHAN (IK0_R2)	CACHED	0	2022-04-04 21:13:55.628	32m 13s	29m 18s	127.4%	5.1 GB	6 GB	30.5 GB	15.8 GB
127	e5/302a89	2072	MERGED_LIB_ATAQV (C0_R4)	CACHED	0	2022-04-04 20:47:25.564	5m 48s	5m 45s	201.6%	130.6 MB	726 MB	17 GB	4.5 MB
126	3f/dd023f	2071	MERGED_LIB_MACS2_ANNOTATE (C0_R4)	CACHED	0	2022-04-04 20:47:25.096	3m 43s	3m 41s	100.2%	2.5 GB	2.6 GB	1.7 GB	371.4 MB
132	6f/0539f2	2121	MERGED_LIB_PLOTFINGERPRINT (IK0_R1)	CACHED	0	2022-04-04 22:27:31.857	1m 57s	1m 53s	690.6%	1 GB	2.1 GB	46.2 GB	6.4 MB
130	89/817cf5	2108	MERGED_LIB_PLOTFINGERPRINT (IK0_R2)	CACHED	0	2022-04-04 21:46:10.839	3m 3s	2m 57s	478.4%	1 GB	2.1 GB	47.5 GB	6.4 MB
134	cd/719901	2074	MERGED_LIB_BAM_REMOVE_ORPHAN (IK0_R4)	CACHED	0	2022-04-04 21:00:24.644	28m 9s	27m 10s	131.1%	5.1 GB	6 GB	28.9 GB	14.6 GB
135	ca/f7e9eb	2076	MERGED_LIB_BAM_REMOVE_ORPHAN (IK0_R3)	CACHED	0	2022-04-04 21:07:20.137	29m 23s	27m 40s	115.8%	5.1 GB	5.9 GB	26.9 GB	13.8 GB
133	5a/4e9df2	2107	MERGED_LIB_MACS2 (IK0_R2)	CACHED	0	2022-04-04 21:46:10.559	25m 38s	25m 32s	103.9%	1.5 GB	1.8 GB	19 GB	10.5 GB
128	90/6156bb	2110	MERGED_LIB_BIGWIG (IK0_R2)	CACHED	0	2022-04-04 21:46:11.500	10m 52s	10m 44s	106.3%	1.9 GB	1.9 GB	17 GB	9.4 GB
129	9b/1b1d44	2109	MERGED_LIB_PICARD_METRICS (IK0_R2)	CACHED	0	2022-04-04 21:46:11.172	11m 33s	11m 29s	99.4%	2.4 GB	39.3 GB	7.3 GB	831 KB
131	85/b2eed7	2123	MERGED_LIB_BIGWIG (IK0_R1)	CACHED	0	2022-04-04 22:27:33.224	8m 36s	8m 29s	105.2%	1.9 GB	1.9 GB	13.2 GB	7.3 GB
136	c9/384b86	2124	MERGED_LIB_MACS2 (IK0_R1)	CACHED	0	2022-04-04 22:27:33.704	14m 25s	14m 17s	117.2%	1.1 GB	1.4 GB	14.4 GB	7.7 GB
137	e6/139239	2122	MERGED_LIB_PICARD_METRICS (IK0_R1)	CACHED	0	2022-04-04 22:27:32.824	11m 6s	10m 56s	100.5%	2.4 GB	39.3 GB	6.3 GB	829.8 KB
143	53/546412	2126	MERGED_LIB_MACS2_ANNOTATE (IK0_R1)	CACHED	0	2022-04-04 22:42:01.444	3m 58s	3m 52s	100.7%	2.6 GB	2.6 GB	1.7 GB	380.1 MB
144	a5/1c1e83	2127	MERGED_LIB_ATAQV (IK0_R1)	CACHED	0	2022-04-04 22:42:02.108	14m 17s	14m 10s	153.5%	126 MB	527.3 MB	19.7 GB	6.1 MB
139	22/0713c0	2119	MERGED_LIB_MACS2_ANNOTATE (IK0_R2)	CACHED	0	2022-04-04 22:11:50.270	3m 44s	3m 38s	100.0%	2.6 GB	2.6 GB	1.7 GB	385.9 MB
145	ae/649a13	2091	MERGED_LIB_BIGWIG (IK0_R4)	CACHED	0	2022-04-04 21:28:35.276	10m 38s	10m 31s	110.7%	1.9 GB	1.9 GB	17.7 GB	9.9 GB
138	42/42a0f5	2118	MERGED_LIB_PLOTPROFILE (IK0_R2)	CACHED	0	2022-04-04 21:57:04.910	10m 54s	10m 42s	690.1%	3.5 GB	4.5 GB	4.3 GB	1.3 GB
