TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2763000000.0	195088056.7	186356984.9	204786402.1
2764000000.0	195094233.7	186361367.9	204793835.5
2765000000.0	195100406.5	186365747.6	204801264.1
2766000000.0	195106575.2	186370124.2	204808687.9
2767000000.0	195112739.9	186374497.6	204816106.8
2768000000.0	195118900.5	186378867.7	204823520.9
2769000000.0	195125057.0	186383234.7	204830930.2
2770000000.0	195131209.5	186387598.5	204838334.6
2771000000.0	195137357.9	186391959.1	204845734.3
2772000000.0	195143502.2	186396316.6	204853129.1
2773000000.0	195149642.5	186400670.8	204860519.1
2774000000.0	195155778.8	186405021.9	204867904.4
2775000000.0	195161911.0	186409369.8	204875284.8
2776000000.0	195168039.1	186413714.6	204882660.5
2777000000.0	195174163.3	186418056.2	204890031.3
2778000000.0	195180283.4	186422394.6	204897397.4
2779000000.0	195186399.4	186426729.9	204904758.7
2780000000.0	195192511.5	186431062.1	204912115.3
2781000000.0	195198619.5	186435391.0	204919467.1
2782000000.0	195204723.5	186439716.9	204926814.1
2783000000.0	195210823.5	186444039.6	204934156.3
2784000000.0	195216919.4	186448359.2	204941493.8
2785000000.0	195223011.4	186452675.6	204948826.6
2786000000.0	195229099.4	186456988.9	204956154.6
2787000000.0	195235183.4	186461299.1	204963477.9
2788000000.0	195241263.4	186465606.1	204970796.4
2789000000.0	195247339.4	186469910.0	204978110.3
2790000000.0	195253411.4	186474210.8	204985419.4
2791000000.0	195259479.4	186478508.5	204992723.7
2792000000.0	195265543.5	186482803.1	205000023.4
2793000000.0	195271603.5	186487094.6	205007318.3
2794000000.0	195277659.7	186491383.0	205014608.6
2795000000.0	195283711.8	186495668.2	205021894.1
2796000000.0	195289760.0	186499950.4	205029175.0
2797000000.0	195295804.2	186504229.5	205036451.1
2798000000.0	195301844.5	186508505.5	205043722.6
2799000000.0	195307880.8	186512778.3	205050989.3
2800000000.0	195313913.2	186517048.2	205058251.4
2801000000.0	195319941.6	186521314.9	205065508.9
2802000000.0	195325966.1	186525578.5	205072761.6
2803000000.0	195331986.7	186529839.1	205080009.7
2804000000.0	195338003.3	186534096.6	205087253.1
2805000000.0	195344016.0	186538351.1	205094491.9
2806000000.0	195350024.8	186542602.4	205101726.0
2807000000.0	195356029.7	186546850.7	205108955.5
2808000000.0	195362030.6	186551096.0	205116180.3
2809000000.0	195368027.6	186555338.2	205123400.5
2810000000.0	195374020.8	186559577.3	205130616.1
2811000000.0	195380010.0	186563813.4	205137827.0
2812000000.0	195385995.3	186568046.5	205145033.3
2813000000.0	195391976.8	186572276.5	205152235.0
2814000000.0	195397954.3	186576503.5	205159432.1
2815000000.0	195403927.9	186580727.4	205166624.5
2816000000.0	195409897.7	186584948.3	205173812.4
2817000000.0	195415863.6	186589166.2	205180995.6
2818000000.0	195421825.6	186593381.0	205188174.3
2819000000.0	195427783.7	186597592.8	205195348.3
2820000000.0	195433738.0	186601801.6	205202517.8
2821000000.0	195439688.4	186606007.4	205209682.6
2822000000.0	195445634.9	186610210.2	205216842.9
2823000000.0	195451577.6	186614409.9	205223998.7
2824000000.0	195457516.4	186618606.7	205231149.8
2825000000.0	195463451.4	186622800.4	205238296.4
2826000000.0	195469382.5	186626991.2	205245438.4
2827000000.0	195475309.8	186631178.9	205252575.9
2828000000.0	195481233.2	186635363.7	205259708.8
2829000000.0	195487152.8	186639545.4	205266837.1
2830000000.0	195493068.6	186643724.2	205273960.9
2831000000.0	195498980.6	186647900.0	205281080.2
2832000000.0	195504888.7	186652072.8	205288194.9
2833000000.0	195510793.0	186656242.6	205295305.1
2834000000.0	195516693.5	186660409.4	205302410.8
2835000000.0	195522590.1	186664573.3	205309511.9
2836000000.0	195528483.0	186668734.2	205316608.5
2837000000.0	195534372.0	186672892.2	205323700.6
2838000000.0	195540257.3	186677047.1	205330788.2
2839000000.0	195546138.7	186681199.2	205337871.3
2840000000.0	195552016.4	186685348.2	205344949.9
2841000000.0	195557890.3	186689494.3	205352024.0
2842000000.0	195563760.3	186693637.5	205359093.6
2843000000.0	195569626.6	186697777.7	205366158.7
2844000000.0	195575489.1	186701914.9	205373219.3
2845000000.0	195581347.9	186706049.3	205380275.4
2846000000.0	195587202.8	186710180.6	205387327.1
2847000000.0	195593054.0	186714309.1	205394374.3
2848000000.0	195598901.5	186718434.6	205401417.0
2849000000.0	195604745.1	186722557.2	205408455.2
2850000000.0	195610585.0	186726676.8	205415489.0
2851000000.0	195616421.2	186730793.6	205422518.4
2852000000.0	195622253.6	186734907.4	205429543.3
2853000000.0	195628082.2	186739018.3	205436563.7
2854000000.0	195633907.1	186743126.2	205443579.7
2855000000.0	195639728.3	186747231.3	205450591.3
2856000000.0	195645545.7	186751333.5	205457598.4
2857000000.0	195651359.4	186755432.7	205464601.1
2858000000.0	195657169.4	186759529.1	205471599.3
2859000000.0	195662975.6	186763622.5	205478593.2
2860000000.0	195668778.2	186767713.1	205485582.6
2861000000.0	195674577.0	186771800.7	205492567.6
2862000000.0	195680372.0	186775885.5	205499548.2
2863000000.0	195686163.4	186779967.4	205506524.4
2864000000.0	195691951.1	186784046.4	205513496.2
2865000000.0	195697735.0	186788122.5	205520463.6
2866000000.0	195703515.3	186792195.8	205527426.6
2867000000.0	195709291.9	186796266.1	205534385.2
2868000000.0	195715064.7	186800333.6	205541339.5
2869000000.0	195720833.9	186804398.3	205548289.3
2870000000.0	195726599.4	186808460.0	205555234.8
2871000000.0	195732361.2	186812518.9	205562175.9
2872000000.0	195738119.3	186816574.9	205569112.6
2873000000.0	195743873.8	186820628.1	205576045.0
2874000000.0	195749624.5	186824678.4	205582973.0
2875000000.0	195755371.6	186828725.9	205589896.7
2876000000.0	195761115.1	186832770.5	205596816.0
2877000000.0	195766854.9	186836812.3	205603730.9
2878000000.0	195772591.0	186840851.3	205610641.5
2879000000.0	195778323.4	186844887.4	205617547.8
2880000000.0	195784052.3	186848920.6	205624449.7
2881000000.0	195789777.4	186852951.0	205631347.3
2882000000.0	195795498.9	186856978.6	205638240.6
2883000000.0	195801216.8	186861003.4	205645129.6
2884000000.0	195806931.1	186865025.3	205652014.2
2885000000.0	195812641.7	186869044.5	205658894.5
2886000000.0	195818348.6	186873060.8	205665770.6
2887000000.0	195824052.0	186877074.2	205672642.3
2888000000.0	195829751.7	186881084.9	205679509.7
2889000000.0	195835447.8	186885092.8	205686372.8
2890000000.0	195841140.3	186889097.8	205693231.6
2891000000.0	195846829.2	186893100.1	205700086.1
2892000000.0	195852514.4	186897099.5	205706936.3
2893000000.0	195858196.1	186901096.2	205713782.3
2894000000.0	195863874.1	186905090.0	205720623.9
2895000000.0	195869548.6	186909081.1	205727461.3
2896000000.0	195875219.4	186913069.4	205734294.5
2897000000.0	195880886.7	186917054.8	205741123.3
2898000000.0	195886550.4	186921037.5	205747947.9
2899000000.0	195892210.4	186925017.4	205754768.3
2900000000.0	195897867.0	186928994.6	205761584.3
2901000000.0	195903519.9	186932968.9	205768396.2
2902000000.0	195909169.2	186936940.5	205775203.8
2903000000.0	195914815.0	186940909.3	205782007.1
2904000000.0	195920457.2	186944875.4	205788806.2
2905000000.0	195926095.8	186948838.7	205795601.1
2906000000.0	195931730.9	186952799.2	205802391.7
2907000000.0	195937362.4	186956757.0	205809178.1
2908000000.0	195942990.4	186960712.0	205815960.3
2909000000.0	195948614.8	186964664.2	205822738.3
2910000000.0	195954235.7	186968613.7	205829512.1
2911000000.0	195959853.0	186972560.5	205836281.6
2912000000.0	195965466.7	186976504.5	205843046.9
2913000000.0	195971077.0	186980445.8	205849808.1
2914000000.0	195976683.7	186984384.3	205856565.0
2915000000.0	195982286.8	186988320.1	205863317.7
2916000000.0	195987886.5	186992253.1	205870066.3
2917000000.0	195993482.6	186996183.5	205876810.7
2918000000.0	195999075.2	187000111.1	205883550.8
2919000000.0	196004664.2	187004035.9	205890286.8
2920000000.0	196010249.8	187007958.1	205897018.6
2921000000.0	196015831.8	187011877.5	205903746.3
2922000000.0	196021410.3	187015794.2	205910469.8
2923000000.0	196026985.4	187019708.3	205917189.1
2924000000.0	196032556.9	187023619.5	205923904.2
2925000000.0	196038124.9	187027528.1	205930615.2
2926000000.0	196043689.4	187031434.0	205937322.1
2927000000.0	196049250.5	187035337.2	205944024.8
2928000000.0	196054808.0	187039237.6	205950723.3
2929000000.0	196060362.1	187043135.4	205957417.8
2930000000.0	196065912.7	187047030.5	205964108.0
2931000000.0	196071459.8	187050922.9	205970794.2
2932000000.0	196077003.4	187054812.6	205977476.2
2933000000.0	196082543.5	187058699.6	205984154.1
2934000000.0	196088080.2	187062583.9	205990827.8
2935000000.0	196093613.4	187066465.6	205997497.5
2936000000.0	196099143.2	187070344.5	206004163.0
2937000000.0	196104669.5	187074220.8	206010824.4
2938000000.0	196110192.3	187078094.4	206017481.7
2939000000.0	196115711.7	187081965.4	206024134.9
2940000000.0	196121227.6	187085833.7	206030784.1
2941000000.0	196126740.1	187089699.3	206037429.1
2942000000.0	196132249.1	187093562.2	206044070.0
2943000000.0	196137754.7	187097422.5	206050706.8
2944000000.0	196143256.9	187101280.2	206057339.6
2945000000.0	196148755.6	187105135.2	206063968.3
2946000000.0	196154250.9	187108987.5	206070592.8
2947000000.0	196159742.8	187112837.2	206077213.4
2948000000.0	196165231.2	187116684.2	206083829.8
2949000000.0	196170716.2	187120528.6	206090442.2
2950000000.0	196176197.8	187124370.4	206097050.5
2951000000.0	196181676.0	187128209.5	206103654.8
2952000000.0	196187150.8	187132046.0	206110255.0
2953000000.0	196192622.2	187135879.8	206116851.2
2954000000.0	196198090.1	187139711.0	206123443.3
2955000000.0	196203554.7	187143539.6	206130031.4
2956000000.0	196209015.9	187147365.6	206136615.4
