TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
9273000000.0	180135188.9	164072558.9	186847086.2
9274000000.0	180135597.0	164072665.9	186847553.4
9275000000.0	180136004.9	164072773.0	186848020.5
9276000000.0	180136412.8	164072880.0	186848487.5
9277000000.0	180136820.7	164072987.0	186848954.4
9278000000.0	180137228.4	164073094.0	186849421.2
9279000000.0	180137636.0	164073200.9	186849887.9
9280000000.0	180138043.6	164073307.9	186850354.5
9281000000.0	180138451.1	164073414.7	186850821.0
9282000000.0	180138858.4	164073521.6	186851287.4
9283000000.0	180139265.7	164073628.4	186851753.7
9284000000.0	180139672.9	164073735.2	186852220.0
9285000000.0	180140080.1	164073842.0	186852686.1
9286000000.0	180140487.1	164073948.7	186853152.1
9287000000.0	180140894.1	164074055.5	186853618.0
9288000000.0	180141300.9	164074162.2	186854083.8
9289000000.0	180141707.7	164074268.8	186854549.6
9290000000.0	180142114.4	164074375.4	186855015.2
9291000000.0	180142521.0	164074482.0	186855480.7
9292000000.0	180142927.5	164074588.6	186855946.2
9293000000.0	180143334.0	164074695.2	186856411.5
9294000000.0	180143740.3	164074801.7	186856876.7
9295000000.0	180144146.6	164074908.2	186857341.9
9296000000.0	180144552.8	164075014.6	186857806.9
9297000000.0	180144958.9	164075121.1	186858271.9
9298000000.0	180145364.9	164075227.5	186858736.7
9299000000.0	180145770.8	164075333.8	186859201.5
9300000000.0	180146176.7	164075440.2	186859666.1
